datetime,aggregate,tv,fridge,washing_machine
2024-07-21 09:12:26+00:00,225.0,103.0,72.0,50.0
2024-07-21 09:12:27+00:00,221.0,100.0,71.0,50.0
2024-07-21 09:12:28+00:00,221.0,96.0,68.0,57.0
2024-07-21 09:12:29+00:00,212.0,97.0,70.0,45.0
2024-07-21 09:12:30+00:00,216.0,100.0,71.0,45.0
2024-07-21 09:12:31+00:00,231.0,101.0,72.0,58.0
2024-07-21 09:12:32+00:00,235.0,103.0,72.0,60.0
2024-07-21 09:12:33+00:00,227.0,110.0,70.0,47.0
2024-07-21 09:12:34+00:00,236.0,105.0,72.0,59.0
2024-07-21 09:12:35+00:00,228.0,100.0,71.0,57.0
2024-07-21 09:12:36+00:00,228.0,97.0,72.0,59.0
2024-07-21 09:12:37+00:00,213.0,98.0,70.0,45.0
2024-07-21 09:12:38+00:00,222.0,101.0,71.0,50.0
2024-07-21 09:12:39+00:00,215.0,100.0,70.0,45.0
2024-07-21 09:12:40+00:00,220.0,98.0,71.0,51.0
2024-07-21 09:12:41+00:00,215.0,97.0,71.0,47.0
2024-07-21 09:12:42+00:00,210.0,95.0,70.0,45.0
2024-07-21 09:12:43+00:00,211.0,93.0,71.0,47.0
2024-07-21 09:12:44+00:00,220.0,98.0,71.0,51.0
2024-07-21 09:12:45+00:00,229.0,106.0,70.0,53.0
2024-07-21 09:12:46+00:00,246.0,113.0,71.0,62.0
2024-07-21 09:12:47+00:00,222.0,102.0,71.0,49.0
2024-07-21 09:12:48+00:00,220.0,101.0,71.0,48.0
2024-07-21 09:12:49+00:00,212.0,97.0,69.0,46.0
2024-07-21 09:12:50+00:00,213.0,96.0,68.0,49.0
2024-07-21 09:12:51+00:00,227.0,97.0,70.0,60.0
2024-07-21 09:12:52+00:00,220.0,98.0,72.0,50.0
2024-07-21 09:12:53+00:00,218.0,100.0,70.0,48.0
2024-07-21 09:12:54+00:00,222.0,103.0,70.0,49.0
2024-07-21 09:12:55+00:00,219.0,100.0,71.0,48.0
2024-07-21 09:12:56+00:00,222.0,92.0,71.0,59.0
2024-07-21 09:12:57+00:00,221.0,96.0,71.0,54.0
2024-07-21 09:12:58+00:00,217.0,101.0,70.0,46.0
2024-07-21 09:12:59+00:00,225.0,102.0,70.0,53.0
2024-07-21 09:13:00+00:00,220.0,100.0,70.0,50.0
2024-07-21 09:13:01+00:00,256.0,100.0,71.0,85.0
2024-07-21 09:13:02+00:00,213.0,96.0,72.0,45.0
2024-07-21 09:13:03+00:00,220.0,100.0,68.0,52.0
2024-07-21 09:13:04+00:00,224.0,96.0,72.0,56.0
2024-07-21 09:13:05+00:00,230.0,96.0,70.0,64.0
2024-07-21 09:13:06+00:00,220.0,98.0,72.0,50.0
2024-07-21 09:13:07+00:00,221.0,98.0,71.0,52.0
