datetime,aggregate,fridge,tv,washing_machine
2014-09-30 22:30:00+00:00,329.95,92.73333,0.0,0.0
2014-09-30 22:31:00+00:00,332.56668,92.48333,0.0,0.0
2014-09-30 22:32:00+00:00,327.05,92.45,0.0,0.0
2014-09-30 22:33:00+00:00,329.65,92.6,0.0,0.0
2014-09-30 22:34:00+00:00,330.56668,92.583336,0.0,0.0
2014-09-30 22:35:00+00:00,330.35,92.55,0.0,0.0
2014-09-30 22:36:00+00:00,329.0,92.78333,0.0,0.0
2014-09-30 22:37:00+00:00,331.25,92.76667,0.0,0.0
2014-09-30 22:38:00+00:00,332.28333,92.88333,0.0,0.0
2014-09-30 22:39:00+00:00,330.9,93.0,0.0,0.0
2014-09-30 22:40:00+00:00,327.48334,92.88333,0.0,0.0
2014-09-30 22:41:00+00:00,327.91666,92.76667,0.0,0.0
2014-09-30 22:42:00+00:00,327.9,92.88333,0.0,0.0
2014-09-30 22:43:00+00:00,327.3,94.166664,0.0,0.0
2014-09-30 22:44:00+00:00,325.85,91.683334,0.0,0.0
2014-09-30 22:45:00+00:00,322.7,88.7,0.0,0.0
2014-09-30 22:46:00+00:00,321.76666,86.61667,0.0,0.0
2014-09-30 22:47:00+00:00,320.21667,85.833336,0.0,0.0
2014-09-30 22:48:00+00:00,262.28333,26.916666,0.0,0.0
2014-09-30 22:49:00+00:00,258.63333,0.0,0.0,0.0
2014-09-30 22:50:00+00:00,256.0,0.0,0.0,0.0
2014-09-30 22:51:00+00:00,255.75,0.0,0.0,0.0
2014-09-30 22:52:00+00:00,254.9,0.0,0.0,0.0
2014-09-30 22:53:00+00:00,255.35,0.0,0.0,0.0
2014-09-30 22:54:00+00:00,255.26666,0.0,0.0,0.0
2014-09-30 22:55:00+00:00,256.9,0.0,0.0,0.0
2014-09-30 22:56:00+00:00,255.36667,0.0,0.0,0.0
2014-09-30 22:57:00+00:00,253.45,0.0,0.0,0.0
2014-09-30 22:58:00+00:00,256.06668,0.0,0.0,0.0
2014-09-30 22:59:00+00:00,255.53334,0.0,0.0,0.0
2014-09-30 23:00:00+00:00,259.16666,0.0,0.0,0.0
2014-09-30 23:01:00+00:00,260.71667,0.0,0.0,0.0
2014-09-30 23:02:00+00:00,259.95,0.0,0.0,0.0
2014-09-30 23:03:00+00:00,260.9,0.0,0.0,0.0
2014-09-30 23:04:00+00:00,266.06668,0.0,0.0,0.0
2014-09-30 23:05:00+00:00,244.56667,0.0,0.0,0.0
2014-09-30 23:06:00+00:00,196.48334,0.0,0.0,0.0
2014-09-30 23:07:00+00:00,200.21666,0.0,0.0,0.0
2014-09-30 23:08:00+00:00,199.61667,0.0,0.0,0.0
2014-09-30 23:09:00+00:00,199.2,0.0,0.0,0.0
2014-09-30 23:10:00+00:00,197.35,0.0,0.0,0.0
2014-09-30 23:11:00+00:00,199.76666,0.0,0.0,0.0
