datetime,aggregate,fridge,tv,washing_machine
2014-08-05 05:15:00+00:00,154.0,0.0,0.0,0.0
2014-08-05 05:16:00+00:00,153.5,0.0,0.0,0.0
2014-08-05 05:17:00+00:00,154.1,0.0,0.0,0.0
2014-08-05 05:18:00+00:00,153.31667,0.0,0.0,0.0
2014-08-05 05:19:00+00:00,153.51666,0.0,0.0,0.0
2014-08-05 05:20:00+00:00,153.6,0.0,0.0,0.0
2014-08-05 05:21:00+00:00,153.25,0.0,0.0,0.0
2014-08-05 05:22:00+00:00,153.23334,0.0,0.0,0.0
2014-08-05 05:23:00+00:00,153.28334,0.0,0.0,0.0
2014-08-05 05:24:00+00:00,153.33333,0.0,0.0,0.0
2014-08-05 05:25:00+00:00,163.16667,7.9166665,0.0,0.0
2014-08-05 05:26:00+00:00,216.4,92.1,0.0,0.0
2014-08-05 05:27:00+00:00,222.21666,88.65,0.0,0.0
2014-08-05 05:28:00+00:00,225.18333,90.23333,0.0,0.0
2014-08-05 05:29:00+00:00,226.11667,93.23333,0.0,0.0
2014-08-05 05:30:00+00:00,227.1,95.15,0.0,0.0
2014-08-05 05:31:00+00:00,227.98334,96.01667,0.0,0.0
2014-08-05 05:32:00+00:00,230.03334,95.933334,0.0,0.0
2014-08-05 05:33:00+00:00,228.38333,94.4,0.0,0.0
2014-08-05 05:34:00+00:00,226.35,93.3,0.0,0.0
2014-08-05 05:35:00+00:00,226.66667,92.583336,0.0,0.0
2014-08-05 05:36:00+00:00,225.81667,92.28333,0.0,0.0
2014-08-05 05:37:00+00:00,226.35,92.316666,0.0,0.0
2014-08-05 05:38:00+00:00,226.31667,92.25,0.0,0.0
2014-08-05 05:39:00+00:00,225.46666,92.88333,0.0,0.0
2014-08-05 05:40:00+00:00,226.58333,92.9,0.0,0.0
2014-08-05 05:41:00+00:00,226.45,92.88333,0.0,0.0
2014-08-05 05:42:00+00:00,226.61667,92.9,0.0,0.0
2014-08-05 05:43:00+00:00,225.78334,92.9,0.0,0.0
2014-08-05 05:44:00+00:00,226.21666,93.1,0.0,0.0
2014-08-05 05:45:00+00:00,227.25,93.083336,0.0,0.0
2014-08-05 05:46:00+00:00,226.23334,92.683334,0.0,0.0
2014-08-05 05:47:00+00:00,225.43333,93.0,0.0,0.0
2014-08-05 05:48:00+00:00,226.28334,92.7,0.0,0.0
2014-08-05 05:49:00+00:00,226.05,92.666664,0.0,0.0
2014-08-05 05:50:00+00:00,227.36667,93.15,0.0,0.0
2014-08-05 05:51:00+00:00,225.1,91.45,0.0,0.0
2014-08-05 05:52:00+00:00,221.96666,88.5,0.0,0.0
2014-08-05 05:53:00+00:00,220.9,86.45,0.0,0.0
2014-08-05 05:54:00+00:00,162.0,11.466666,0.0,0.0
2014-08-05 05:55:00+00:00,161.55,0.0,0.0,0.0
2014-08-05 05:56:00+00:00,161.7,0.0,0.0,0.0
2014-08-05 05:57:00+00:00,161.38333,0.0,0.0,0.0
2014-08-05 05:58:00+00:00,161.41667,0.0,0.0,0.0
2014-08-05 05:59:00+00:00,160.81667,0.0,0.0,0.0
2014-08-05 06:00:00+00:00,164.6,0.0,0.0,0.0
2014-08-05 06:01:00+00:00,163.76666,0.0,0.0,0.0
2014-08-05 06:02:00+00:00,163.11667,0.0,0.0,0.0
2014-08-05 06:03:00+00:00,163.58333,0.0,0.0,0.0
2014-08-05 06:04:00+00:00,163.23334,0.0,0.0,0.0
2014-08-05 06:05:00+00:00,162.16667,0.0,0.0,0.0
2014-08-05 06:06:00+00:00,161.78334,0.0,0.0,0.0
2014-08-05 06:07:00+00:00,162.08333,0.0,0.0,0.0
2014-08-05 06:08:00+00:00,161.4,0.0,0.0,0.0
2014-08-05 06:09:00+00:00,161.38333,0.0,0.0,0.0
2014-08-05 06:10:00+00:00,161.61667,0.0,0.0,0.0
2014-08-05 06:11:00+00:00,155.2,0.0,0.0,0.0
2014-08-05 06:12:00+00:00,153.16667,0.0,0.0,0.0
2014-08-05 06:13:00+00:00,153.35,0.0,0.0,0.0
2014-08-05 06:14:00+00:00,153.1,0.0,0.0,0.0
2014-08-05 06:15:00+00:00,153.3,0.0,0.0,0.0
2014-08-05 06:16:00+00:00,154.0,0.0,0.0,0.0
2014-08-05 06:17:00+00:00,154.0,0.0,0.0,0.0
2014-08-05 06:18:00+00:00,153.71666,0.0,0.0,0.0
2014-08-05 06:19:00+00:00,153.81667,0.0,0.0,0.0
2014-08-05 06:20:00+00:00,153.85,0.0,0.0,0.0
2014-08-05 06:21:00+00:00,153.76666,0.0,0.0,0.0
2014-08-05 06:22:00+00:00,153.5,0.0,0.0,0.0
2014-08-05 06:23:00+00:00,152.8,0.0,0.0,0.0
2014-08-05 06:24:00+00:00,152.3,0.0,0.0,0.0
2014-08-05 06:25:00+00:00,152.66667,0.0,0.0,0.0
2014-08-05 06:26:00+00:00,152.73334,0.0,0.0,0.0
2014-08-05 06:27:00+00:00,152.73334,0.0,0.0,0.0
2014-08-05 06:28:00+00:00,152.75,0.0,0.0,0.0
2014-08-05 06:29:00+00:00,195.36667,54.933334,0.0,0.0
2014-08-05 06:30:00+00:00,212.61667,90.75,0.0,0.0
2014-08-05 06:31:00+00:00,212.61667,89.8,0.0,0.0
2014-08-05 06:32:00+00:00,211.6,88.95,0.0,0.0
2014-08-05 06:33:00+00:00,210.33333,88.76667,0.0,0.0
2014-08-05 06:34:00+00:00,208.11667,88.05,0.0,0.0
2014-08-05 06:35:00+00:00,208.01666,87.15,0.0,0.0
2014-08-05 06:36:00+00:00,208.76666,86.583336,0.0,0.0
2014-08-05 06:37:00+00:00,208.4,85.95,0.0,0.0
2014-08-05 06:38:00+00:00,207.05,85.35,0.0,0.0
2014-08-05 06:39:00+00:00,205.65,84.78333,0.0,0.0
2014-08-05 06:40:00+00:00,191.91667,71.75,0.0,0.0
2014-08-05 06:41:00+00:00,160.78334,0.0,0.0,0.0
2014-08-05 06:42:00+00:00,160.41667,0.0,0.0,0.0
